Entry Number,Broker Reference,Customer Name,Customer Code,Entry Filed Date,Release Date,Summary Date,Port of Entry,Port of Lading,Mode of Transport,Carrier,Bill of Lading,Container Number,Country of Origin Code,Country of Origin,MID,Invoice Tariff Line,Invoice Tariff - HTS Code,Invoice Tariff - Description,Invoice Line - Units,Invoice Line - UOM,Invoice Tariff - Entered Value,Invoice Tariff - Duty Rate (%),Invoice Tariff - Duty,Section 301 Code,Section 301 Duty,IEEPA Code,IEEPA Duty,MPF,HMF,"Total Duty, Taxes, Fees & Penalties",On Hold,Hold Reason,Pay Type,Entry Type
59561800062,BQLP99200452323,Summit Athletic Gear,SAG,2024-10-03,2024-10-03,2024-10-15,5301 (Houston),BDCGP (Chittagong),Ocean,CMA CGM,MSKU8294150,EASS9398441,BD,Bangladesh,BDTNC91959,2,9506.62.8040,Inflatable balls,2665,NMB,73546.55,0.0,0.0,,0.0,,0.0,254.77,91.93,346.7,No,,Daily,01 - Consumption
59561800062,BQLP99200452323,Summit Athletic Gear,SAG,2024-10-03,2024-10-03,2024-10-15,5301 (Houston),BDCGP (Chittagong),Ocean,CMA CGM,MSKU8294150,EASS9398441,BD,Bangladesh,BDTNC91959,3,6116.93.8800,"Synthetic fiber gloves, knitted",484,DOZ/PRS,36510.3,18.6,6790.92,,0.0,,0.0,126.47,45.64,6963.03,No,,Statement,01 - Consumption
59561800105,BQRS87081128140,Summit Athletic Gear,SAG,2024-10-17,2024-10-18,2024-10-26,1001 (New York/Newark),VNSGN (Ho Chi Minh),Ocean,HAPAG-LLOYD,MSKU8099076,ZYTR6229731,VN,Vietnam,VNKRJ77839,1,6116.93.8800,"Synthetic fiber gloves, knitted",1850,DOZ/PRS,10071.87,18.6,1873.37,,0.0,,0.0,34.89,12.59,1920.85,Yes,Value Inquiry,Statement,01 - Consumption
59561800105,BQRS87081128140,Summit Athletic Gear,SAG,2024-10-17,2024-10-18,2024-10-26,1001 (New York/Newark),VNSGN (Ho Chi Minh),Ocean,HAPAG-LLOYD,MSKU8099076,ZYTR6229731,VN,Vietnam,VNKRJ77839,2,6402.91.5050,"Athletic footwear, rubber/plastic outer sole",591,PRS,106322.22,20.0,21264.44,,0.0,,0.0,368.3,132.9,21765.64,Yes,PGA Review,Statement,01 - Consumption
59561800105,BQRS87081128140,Summit Athletic Gear,SAG,2024-10-17,2024-10-18,2024-10-26,1001 (New York/Newark),VNSGN (Ho Chi Minh),Ocean,HAPAG-LLOYD,MSKU8099076,ZYTR6229731,VN,Vietnam,VNKRJ77839,3,6402.91.5050,"Athletic footwear, rubber/plastic outer sole",4221,PRS,36081.69,20.0,7216.34,,0.0,,0.0,124.99,45.1,7386.43,No,,Statement,01 - Consumption
59561800105,BQRS87081128140,Summit Athletic Gear,SAG,2024-10-17,2024-10-18,2024-10-26,1001 (New York/Newark),VNSGN (Ho Chi Minh),Ocean,HAPAG-LLOYD,MSKU8099076,ZYTR6229731,VN,Vietnam,VNKRJ77839,4,6505.00.8015,Knitted caps/hats,4687,DOZ,86643.64,20.7,17935.23,,0.0,,0.0,300.13,108.3,18343.66,No,,Daily,06 - FTZ
59561800133,BQRS17426324250,Meridian Home Furnishings,MHF,2025-03-15,2025-03-18,2025-03-27,2704 (Los Angeles),CNSHA (Shanghai),Ocean,COSCO,MSKU6692553,UCEN3351868,CN,China,CNKHG19880,1,5702.42.2090,"Floor coverings, woven pile, of man-made fibers",4518,M2,15137.35,4.4,666.04,9903.88.03,3784.34,9903.01.25,3027.47,52.44,18.92,7549.21,No,,Statement,01 - Consumption
59561800133,BQRS17426324250,Meridian Home Furnishings,MHF,2025-03-15,2025-03-18,2025-03-27,2704 (Los Angeles),CNSHA (Shanghai),Ocean,COSCO,MSKU6692553,UCEN3351868,CN,China,CNKHG19880,2,6304.93.0000,"Furnishing articles, of synthetic fibers",3988,KGM,72463.08,9.3,6739.07,9903.88.03,18115.77,9903.01.25,14492.62,251.01,90.58,39689.05,No,,Statement,06 - FTZ
59561800133,BQRS17426324250,Meridian Home Furnishings,MHF,2025-03-15,2025-03-18,2025-03-27,2704 (Los Angeles),CNSHA (Shanghai),Ocean,COSCO,MSKU6692553,UCEN3351868,CN,China,CNKHG19880,3,9405.42.8200,"Luminaires and lighting, LED",3737,NMB,43144.76,3.9,1682.65,9903.88.15,3235.86,9903.01.25,8628.95,149.45,53.93,13750.84,No,,Daily,01 - Consumption
59561800154,BQMJ87524771010,Meridian Home Furnishings,MHF,2025-02-16,2025-02-16,2025-02-28,1701 (Charleston),VNSGN (Ho Chi Minh),Ocean,MAERSK LINE,MSKU9519948,CEPR4946066,VN,Vietnam,VNKYO85880,1,7009.92.5000,"Glass mirrors, framed",681,NMB,63174.12,3.9,2463.79,,0.0,9903.02.46,29060.1,218.84,78.97,31821.7,No,,Daily,01 - Consumption
59561800154,BQMJ87524771010,Meridian Home Furnishings,MHF,2025-02-16,2025-02-16,2025-02-28,1701 (Charleston),VNSGN (Ho Chi Minh),Ocean,MAERSK LINE,MSKU9519948,CEPR4946066,VN,Vietnam,VNKYO85880,2,9403.60.8081,"Wooden furniture, other",2583,NMB,36183.55,0.0,0.0,,0.0,9903.02.46,16644.43,125.34,45.23,16815.0,No,,Daily,06 - FTZ
59561800154,BQMJ87524771010,Meridian Home Furnishings,MHF,2025-02-16,2025-02-16,2025-02-28,1701 (Charleston),VNSGN (Ho Chi Minh),Ocean,MAERSK LINE,MSKU9519948,CEPR4946066,VN,Vietnam,VNKYO85880,3,9405.42.8200,"Luminaires and lighting, LED",604,NMB,1892.66,3.9,73.81,,0.0,9903.02.46,870.62,31.67,2.37,978.47,No,,Statement,01 - Consumption
59561800154,BQMJ87524771010,Meridian Home Furnishings,MHF,2025-02-16,2025-02-16,2025-02-28,1701 (Charleston),VNSGN (Ho Chi Minh),Ocean,MAERSK LINE,MSKU9519948,CEPR4946066,VN,Vietnam,VNKYO85880,4,7009.92.5000,"Glass mirrors, framed",1756,NMB,76129.76,3.9,2969.06,,0.0,9903.02.46,35019.69,263.71,95.16,38347.62,No,,Daily,01 - Consumption
59561800200,BQLP81528283622,Meridian Home Furnishings,MHF,2024-11-07,2024-11-10,2024-11-21,2704 (Los Angeles),CNSHA (Shanghai),Ocean,ONE,MSKU2737893,YDDC3607983,CN,China,CNHPS36685,1,5702.42.2090,"Floor coverings, woven pile, of man-made fibers",2172,M2,76058.65,4.4,3346.58,9903.88.03,19014.66,,0.0,263.47,95.07,22719.78,No,,Daily,01 - Consumption
59561800200,BQLP81528283622,Meridian Home Furnishings,MHF,2024-11-07,2024-11-10,2024-11-21,2704 (Los Angeles),CNSHA (Shanghai),Ocean,ONE,MSKU2737893,YDDC3607983,CN,China,CNHPS36685,2,9401.71.0011,Upholstered metal-frame seating,39,NMB,50366.7,0.0,0.0,,0.0,,0.0,174.47,62.96,237.43,No,,Statement,06 - FTZ
59561800200,BQLP81528283622,Meridian Home Furnishings,MHF,2024-11-07,2024-11-10,2024-11-21,2704 (Los Angeles),CNSHA (Shanghai),Ocean,ONE,MSKU2737893,YDDC3607983,CN,China,CNHPS36685,3,7009.92.5000,"Glass mirrors, framed",3513,NMB,84355.58,3.9,3289.87,,0.0,,0.0,292.21,105.44,3687.52,No,,Statement,01 - Consumption
59561800200,BQLP81528283622,Meridian Home Furnishings,MHF,2024-11-07,2024-11-10,2024-11-21,2704 (Los Angeles),CNSHA (Shanghai),Ocean,ONE,MSKU2737893,YDDC3607983,CN,China,CNHPS36685,4,5702.42.2090,"Floor coverings, woven pile, of man-made fibers",3034,M2,87585.18,4.4,3853.75,,0.0,,0.0,303.4,109.48,4266.63,No,,Daily,01 - Consumption
59561800207,BQLP86365017788,Meridian Home Furnishings,MHF,2024-11-22,2024-11-23,2024-12-05,1701 (Charleston),BDCGP (Chittagong),Ocean,MSC,MSKU3726327,ZVWA6573147,BD,Bangladesh,BDUKR42527,1,5702.42.2090,"Floor coverings, woven pile, of man-made fibers",895,M2,57689.99,4.4,2538.36,,0.0,,0.0,199.84,72.11,2810.31,Yes,Missing Documents,Statement,01 - Consumption
59561800207,BQLP86365017788,Meridian Home Furnishings,MHF,2024-11-22,2024-11-23,2024-12-05,1701 (Charleston),BDCGP (Chittagong),Ocean,MSC,MSKU3726327,ZVWA6573147,BD,Bangladesh,BDUKR42527,2,5702.42.2090,"Floor coverings, woven pile, of man-made fibers",3780,M2,52773.93,4.4,2322.05,,0.0,,0.0,182.81,65.97,2570.83,No,,Statement,01 - Consumption
59561800207,BQLP86365017788,Meridian Home Furnishings,MHF,2024-11-22,2024-11-23,2024-12-05,1701 (Charleston),BDCGP (Chittagong),Ocean,MSC,MSKU3726327,ZVWA6573147,BD,Bangladesh,BDUKR42527,3,9401.71.0011,Upholstered metal-frame seating,1592,NMB,60070.66,0.0,0.0,,0.0,,0.0,208.08,75.09,283.17,No,,Statement,01 - Consumption
59561800215,BQLP88076354267,Pacific Coast Apparel,PCA,2025-01-09,2025-01-11,2025-01-18,5301 (Houston),INMAA (Chennai),Ocean,MAERSK LINE,MSKU8290770,IULZ2940214,IN,India,INKOG67154,1,6104.63.2006,"Women's trousers, synthetic, knitted",1624,DOZ,54951.11,28.2,15496.21,,0.0,,0.0,190.35,68.69,15755.25,No,,Daily,01 - Consumption
59561800242,BQLP84284273440,Summit Athletic Gear,SAG,2024-12-14,2024-12-16,2024-12-28,1001 (New York/Newark),IDTPP (Tanjung Priok),Ocean,COSCO,MSKU7361002,RXQH1006810,ID,Indonesia,IDHFU89516,1,6211.33.0056,"Men's track suits, man-made fibers",3629,DOZ,66602.89,16.0,10656.46,,0.0,,0.0,230.71,83.25,10970.42,No,,Daily,01 - Consumption
59561800242,BQLP84284273440,Summit Athletic Gear,SAG,2024-12-14,2024-12-16,2024-12-28,1001 (New York/Newark),IDTPP (Tanjung Priok),Ocean,COSCO,MSKU7361002,RXQH1006810,ID,Indonesia,IDHFU89516,2,6505.00.8015,Knitted caps/hats,704,DOZ,42926.07,20.7,8885.7,,0.0,,0.0,148.7,53.66,9088.06,No,,Daily,01 - Consumption
59561800242,BQLP84284273440,Summit Athletic Gear,SAG,2024-12-14,2024-12-16,2024-12-28,1001 (New York/Newark),IDTPP (Tanjung Priok),Ocean,COSCO,MSKU7361002,RXQH1006810,ID,Indonesia,IDHFU89516,3,6116.93.8800,"Synthetic fiber gloves, knitted",2552,DOZ/PRS,34083.78,18.6,6339.58,,0.0,,0.0,118.07,42.6,6500.25,No,,Statement,01 - Consumption
59561800242,BQLP84284273440,Summit Athletic Gear,SAG,2024-12-14,2024-12-16,2024-12-28,1001 (New York/Newark),IDTPP (Tanjung Priok),Ocean,COSCO,MSKU7361002,RXQH1006810,ID,Indonesia,IDHFU89516,4,6116.93.8800,"Synthetic fiber gloves, knitted",3902,DOZ/PRS,91885.46,18.6,17090.7,,0.0,,0.0,318.29,114.86,17523.85,No,,Daily,06 - FTZ
59561800268,BQNK96533160004,Summit Athletic Gear,SAG,2025-03-25,2025-03-28,2025-04-07,2704 (Los Angeles),VNSGN (Ho Chi Minh),Ocean,EVERGREEN,MSKU8132769,FUSM5180853,VN,Vietnam,VNXDD70901,1,9506.62.8040,Inflatable balls,4887,NMB,47936.04,0.0,0.0,,0.0,9903.02.46,22050.58,166.05,59.92,22276.55,No,,Daily,06 - FTZ
59561800268,BQNK96533160004,Summit Athletic Gear,SAG,2025-03-25,2025-03-28,2025-04-07,2704 (Los Angeles),VNSGN (Ho Chi Minh),Ocean,EVERGREEN,MSKU8132769,FUSM5180853,VN,Vietnam,VNXDD70901,2,9506.62.8040,Inflatable balls,3662,NMB,134632.61,0.0,0.0,,0.0,9903.02.46,61931.0,466.37,168.29,62565.66,No,,Daily,06 - FTZ
59561800268,BQNK96533160004,Summit Athletic Gear,SAG,2025-03-25,2025-03-28,2025-04-07,2704 (Los Angeles),VNSGN (Ho Chi Minh),Ocean,EVERGREEN,MSKU8132769,FUSM5180853,VN,Vietnam,VNXDD70901,3,4202.92.3031,"Sports bags, outer surface textile",2035,NMB,126059.5,17.6,22186.47,,0.0,9903.02.46,57987.37,436.67,157.57,80768.08,No,,Daily,01 - Consumption
59561800268,BQNK96533160004,Summit Athletic Gear,SAG,2025-03-25,2025-03-28,2025-04-07,2704 (Los Angeles),VNSGN (Ho Chi Minh),Ocean,EVERGREEN,MSKU8132769,FUSM5180853,VN,Vietnam,VNXDD70901,4,4202.92.3031,"Sports bags, outer surface textile",3613,NMB,12083.76,17.6,2126.74,,0.0,9903.02.46,5558.53,41.86,15.1,7742.23,No,,Daily,01 - Consumption
59561800283,BQRS30160360945,Pacific Coast Apparel,PCA,2024-10-20,2024-10-21,2024-10-29,1001 (New York/Newark),BDCGP (Chittagong),Ocean,COSCO,MSKU7838382,IMBV7534336,BD,Bangladesh,BDXPS85456,1,6110.20.2079,"Cotton pullovers, knitted",2891,DOZ,45142.59,16.5,7448.53,,0.0,,0.0,156.37,56.43,7661.33,No,,Daily,01 - Consumption
59561800283,BQRS30160360945,Pacific Coast Apparel,PCA,2024-10-20,2024-10-21,2024-10-29,1001 (New York/Newark),BDCGP (Chittagong),Ocean,COSCO,MSKU7838382,IMBV7534336,BD,Bangladesh,BDXPS85456,2,6205.20.2065,"Men's shirts, cotton",1807,DOZ,41303.83,19.7,8136.85,,0.0,,0.0,143.08,51.63,8331.56,No,,Daily,01 - Consumption
59561800283,BQRS30160360945,Pacific Coast Apparel,PCA,2024-10-20,2024-10-21,2024-10-29,1001 (New York/Newark),BDCGP (Chittagong),Ocean,COSCO,MSKU7838382,IMBV7534336,BD,Bangladesh,BDXPS85456,3,4202.22.8050,"Handbags, outer surface textile",3322,NMB,108765.12,17.6,19142.66,,0.0,,0.0,376.76,135.96,19655.38,No,,Statement,01 - Consumption
59561800325,BQRS33457816221,Pacific Coast Apparel,PCA,2025-03-19,2025-03-19,2025-03-26,2704 (Los Angeles),VNSGN (Ho Chi Minh),Ocean,COSCO,MSKU6492066,FITJ8072684,VN,Vietnam,VNGCA80702,1,6204.62.4011,"Women's trousers, cotton",1846,DOZ,97696.54,16.6,16217.63,,0.0,9903.02.46,44940.41,338.42,122.12,61618.58,No,,Statement,01 - Consumption
59561800325,BQRS33457816221,Pacific Coast Apparel,PCA,2025-03-19,2025-03-19,2025-03-26,2704 (Los Angeles),VNSGN (Ho Chi Minh),Ocean,COSCO,MSKU6492066,FITJ8072684,VN,Vietnam,VNGCA80702,2,6109.10.0040,"T-shirts, cotton, men's",1643,DOZ,125964.71,16.5,20784.18,,0.0,9903.02.46,57943.77,436.34,157.46,79321.75,No,,Statement,01 - Consumption
59561800370,BQLP60538442525,Pacific Coast Apparel,PCA,2025-02-21,2025-02-22,2025-03-04,1001 (New York/Newark),INMAA (Chennai),Ocean,EVERGREEN,MSKU3747534,ZCAI7296605,IN,India,INKSB92213,1,4202.22.8050,"Handbags, outer surface textile",2480,NMB,127618.84,17.6,22460.92,,0.0,9903.02.26,33180.9,442.07,159.52,56243.41,No,,Statement,01 - Consumption
59561800370,BQLP60538442525,Pacific Coast Apparel,PCA,2025-02-21,2025-02-22,2025-03-04,1001 (New York/Newark),INMAA (Chennai),Ocean,EVERGREEN,MSKU3747534,ZCAI7296605,IN,India,INKSB92213,2,6204.62.4011,"Women's trousers, cotton",4374,DOZ,64542.51,16.6,10714.06,,0.0,9903.02.26,16781.05,223.58,80.68,27799.37,No,,Daily,01 - Consumption
59561800370,BQLP60538442525,Pacific Coast Apparel,PCA,2025-02-21,2025-02-22,2025-03-04,1001 (New York/Newark),INMAA (Chennai),Ocean,EVERGREEN,MSKU3747534,ZCAI7296605,IN,India,INKSB92213,3,6205.20.2065,"Men's shirts, cotton",4025,DOZ,16278.06,19.7,3206.78,,0.0,9903.02.26,4232.3,56.39,20.35,7515.82,No,,Daily,01 - Consumption
59561800405,BQRS67831192507,Pacific Coast Apparel,PCA,2025-02-09,2025-02-11,2025-02-22,2809 (Long Beach),CNSHA (Shanghai),Ocean,CMA CGM,MSKU5118725,VCWG8796514,CN,China,CNORI74789,1,6109.10.0040,"T-shirts, cotton, men's",4004,DOZ,32211.92,16.5,5314.97,9903.88.15,2415.89,9903.01.25,6442.38,111.58,40.26,14325.08,No,,Daily,01 - Consumption
59561800405,BQRS67831192507,Pacific Coast Apparel,PCA,2025-02-09,2025-02-11,2025-02-22,2809 (Long Beach),CNSHA (Shanghai),Ocean,CMA CGM,MSKU5118725,VCWG8796514,CN,China,CNORI74789,2,6104.63.2006,"Women's trousers, synthetic, knitted",1575,DOZ,13299.14,28.2,3750.36,9903.88.15,997.44,9903.01.25,2659.83,46.07,16.62,7470.32,No,,Statement,06 - FTZ
59561800405,BQRS67831192507,Pacific Coast Apparel,PCA,2025-02-09,2025-02-11,2025-02-22,2809 (Long Beach),CNSHA (Shanghai),Ocean,CMA CGM,MSKU5118725,VCWG8796514,CN,China,CNORI74789,3,4202.22.8050,"Handbags, outer surface textile",4030,NMB,67502.1,17.6,11880.37,,0.0,9903.01.25,13500.42,233.83,84.38,25699.0,No,,Daily,01 - Consumption
59561800405,BQRS67831192507,Pacific Coast Apparel,PCA,2025-02-09,2025-02-11,2025-02-22,2809 (Long Beach),CNSHA (Shanghai),Ocean,CMA CGM,MSKU5118725,VCWG8796514,CN,China,CNORI74789,4,6204.62.4011,"Women's trousers, cotton",4774,DOZ,55668.56,16.6,9240.98,9903.88.15,4175.14,9903.01.25,11133.71,192.84,69.59,24812.26,No,,Daily,01 - Consumption
59561800405,BQRS67831192507,Pacific Coast Apparel,PCA,2025-02-09,2025-02-11,2025-02-22,2809 (Long Beach),CNSHA (Shanghai),Ocean,CMA CGM,MSKU5118725,VCWG8796514,CN,China,CNORI74789,5,4202.22.8050,"Handbags, outer surface textile",3727,NMB,41002.01,17.6,7216.35,9903.88.03,10250.5,9903.01.25,8200.4,142.03,51.25,25860.53,No,,Daily,01 - Consumption
59561800405,BQRS67831192507,Pacific Coast Apparel,PCA,2025-02-09,2025-02-11,2025-02-22,2809 (Long Beach),CNSHA (Shanghai),Ocean,CMA CGM,MSKU5118725,VCWG8796514,CN,China,CNORI74789,6,4202.22.8050,"Handbags, outer surface textile",4399,NMB,142656.2,17.6,25107.49,9903.88.03,35664.05,9903.01.25,28531.24,494.16,178.32,89975.26,No,,Daily,01 - Consumption
59561800418,BQLP58221673022,Summit Athletic Gear,SAG,2025-02-10,2025-02-12,2025-02-19,1001 (New York/Newark),VNSGN (Ho Chi Minh),Ocean,MAERSK LINE,MSKU9961299,DBBH3118618,VN,Vietnam,VNQTC11607,1,6211.33.0056,"Men's track suits, man-made fibers",3931,DOZ,66350.09,16.0,10616.01,,0.0,9903.02.46,30521.04,229.84,82.94,41449.83,No,,Statement,01 - Consumption
59561800418,BQLP58221673022,Summit Athletic Gear,SAG,2025-02-10,2025-02-12,2025-02-19,1001 (New York/Newark),VNSGN (Ho Chi Minh),Ocean,MAERSK LINE,MSKU9961299,DBBH3118618,VN,Vietnam,VNQTC11607,2,6211.33.0056,"Men's track suits, man-made fibers",944,DOZ,123406.29,16.0,19745.01,,0.0,9903.02.46,56766.89,427.48,154.26,77093.64,No,,Statement,01 - Consumption
59561800418,BQLP58221673022,Summit Athletic Gear,SAG,2025-02-10,2025-02-12,2025-02-19,1001 (New York/Newark),VNSGN (Ho Chi Minh),Ocean,MAERSK LINE,MSKU9961299,DBBH3118618,VN,Vietnam,VNQTC11607,3,6116.93.8800,"Synthetic fiber gloves, knitted",1232,DOZ/PRS,121765.74,18.6,22648.43,,0.0,9903.02.46,56012.24,421.8,152.21,79234.68,No,,Statement,01 - Consumption
59561800418,BQLP58221673022,Summit Athletic Gear,SAG,2025-02-10,2025-02-12,2025-02-19,1001 (New York/Newark),VNSGN (Ho Chi Minh),Ocean,MAERSK LINE,MSKU9961299,DBBH3118618,VN,Vietnam,VNQTC11607,4,6402.91.5050,"Athletic footwear, rubber/plastic outer sole",4581,PRS,114784.3,20.0,22956.86,,0.0,9903.02.46,52800.78,397.61,143.48,76298.73,No,,Statement,06 - FTZ
59561800455,BQMJ26063561269,Pacific Coast Apparel,PCA,2024-12-13,2024-12-16,2024-12-25,1001 (New York/Newark),BDCGP (Chittagong),Ocean,CMA CGM,MSKU2362099,EEBA8558197,BD,Bangladesh,BDRMA47762,1,4202.22.8050,"Handbags, outer surface textile",3729,NMB,11141.37,17.6,1960.88,,0.0,,0.0,38.59,13.93,2013.4,No,,Daily,01 - Consumption
59561800455,BQMJ26063561269,Pacific Coast Apparel,PCA,2024-12-13,2024-12-16,2024-12-25,1001 (New York/Newark),BDCGP (Chittagong),Ocean,CMA CGM,MSKU2362099,EEBA8558197,BD,Bangladesh,BDRMA47762,2,6205.20.2065,"Men's shirts, cotton",950,DOZ,81912.08,19.7,16136.68,,0.0,,0.0,283.74,102.39,16522.81,No,,Daily,01 - Consumption
59561800455,BQMJ26063561269,Pacific Coast Apparel,PCA,2024-12-13,2024-12-16,2024-12-25,1001 (New York/Newark),BDCGP (Chittagong),Ocean,CMA CGM,MSKU2362099,EEBA8558197,BD,Bangladesh,BDRMA47762,3,6110.20.2079,"Cotton pullovers, knitted",498,DOZ,25305.46,16.5,4175.4,,0.0,,0.0,87.66,31.63,4294.69,No,,Daily,06 - FTZ
59561800455,BQMJ26063561269,Pacific Coast Apparel,PCA,2024-12-13,2024-12-16,2024-12-25,1001 (New York/Newark),BDCGP (Chittagong),Ocean,CMA CGM,MSKU2362099,EEBA8558197,BD,Bangladesh,BDRMA47762,4,6110.20.2079,"Cotton pullovers, knitted",3849,DOZ,103457.36,16.5,17070.46,,0.0,,0.0,358.38,129.32,17558.16,No,,Daily,06 - FTZ
59561800455,BQMJ26063561269,Pacific Coast Apparel,PCA,2024-12-13,2024-12-16,2024-12-25,1001 (New York/Newark),BDCGP (Chittagong),Ocean,CMA CGM,MSKU2362099,EEBA8558197,BD,Bangladesh,BDRMA47762,5,6205.20.2065,"Men's shirts, cotton",668,DOZ,89906.48,19.7,17711.58,,0.0,,0.0,311.44,112.38,18135.4,No,,Daily,01 - Consumption
59561800473,BQMJ75176947899,Meridian Home Furnishings,MHF,2025-03-22,2025-03-22,2025-04-03,2809 (Long Beach),CNSHA (Shanghai),Ocean,CMA CGM,MSKU4044882,ZLVZ8885465,CN,China,CNJIR31079,1,9404.90.2000,Pillows and cushions,4068,NMB,43588.56,6.0,2615.31,9903.88.03,10897.14,9903.01.25,8717.71,150.99,54.49,22435.64,No,,Daily,01 - Consumption
59561800473,BQMJ75176947899,Meridian Home Furnishings,MHF,2025-03-22,2025-03-22,2025-04-03,2809 (Long Beach),CNSHA (Shanghai),Ocean,CMA CGM,MSKU4044882,ZLVZ8885465,CN,China,CNJIR31079,2,9405.42.8200,"Luminaires and lighting, LED",959,NMB,145542.62,3.9,5676.16,9903.88.03,36385.65,9903.01.25,29108.52,504.16,181.93,71856.42,No,,Daily,06 - FTZ
